"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2019/05/01","00:00","6.414","5.344","4.738","2.969","3.007","1.276","0.236","-0.666","0"
"2019/06/01","00:00","6.407","5.591","4.803","3.018","3.061","1.319","0.085","-0.938","0"
"2019/07/01","00:00","6.663","5.686","4.82","3.005","3.033","1.247","-0.003","-1.24","0"
"2019/08/01","00:00","6.781","5.656","4.905","3.058","3.068","1.23","0.184","-1.161","0"
"2019/09/01","00:00","6.329","5.528","5.036","3.202","3.223","1.411","0.597","-0.233","0"
"2019/10/01","00:00","6.49","5.305","4.849","3.028","3.063","1.276","0.302","-0.659","0"
"2019/11/01","00:00","7.103","5.689","5.075","3.261","3.312","1.549","0.322","-0.741","0"
"2019/12/01","00:00","6.952","5.85","5.082","3.274","3.325","1.568","0.2","-0.955","0"
"2020/01/01","00:00","6.49","5.453","4.636","2.887","2.912","1.188","-0.049","-1.414","0"
"2020/02/01","00:00","6.677","5.44","4.705","2.93","2.943","1.181","0.174","-1.066","0"
"2020/03/01","00:00","6.322","5.299","4.754","3.002","3.033","1.312","0.39","-0.676","0"
"2020/04/01","00:00","6.25","5.082","4.564","2.762","2.807","1.05","-0.036","-0.522","0"
"2020/05/01","00:00","6.486","5.272","4.656","2.848","2.899","1.142","-0.082","-1.037","0"
"2020/06/01","00:00","6.788","5.545","4.715","2.91","2.945","1.175","-0.069","-1.417","0"
"2020/07/01","00:00","6.706","5.804","4.875","3.068","3.097","1.319","0.052","-1.138","0"
"2020/08/01","00:00","6.434","5.751","4.951","3.136","3.163","1.375","0.236","-0.915","0"
"2020/09/01","00:00","6.214","5.499","4.934","3.153","3.169","1.407","0.486","-0.41","0"
"2020/10/01","00:00","6.549","5.39","4.948","3.156","3.194","1.44","0.482","-0.551","0"
"2020/11/01","00:00","6.736","5.335","4.672","2.884","2.943","1.214","0","-1.394","0"
"2020/12/01","00:00","6.673","5.525","4.646","2.835","2.887","1.129","-0.308","-2.008","0"
"2021/01/01","00:00","6.768","5.673","4.774","2.953","2.989","1.204","-0.151","-1.663","0"
"2021/02/01","00:00","6.381","5.217","4.429","2.657","2.682","0.935","-0.141","-1.155","0"
"2021/03/01","00:00","5.768","5.013","4.482","2.631","2.653","0.823","-0.007","-0.817","0"
"2021/04/01","00:00","6.299","5.121","4.573","2.73","2.766","0.958","-0.085","-1.378","0"
"2021/05/01","00:00","6.67","5.325","4.633","2.785","2.854","1.073","-0.223","-1.785","0"
"2021/06/01","00:00","7.057","5.587","4.774","2.982","3.031","1.293","-0.062","-1.493","0"
"2021/07/01","00:00","6.801","5.719","4.849","3.117","3.143","1.437","0.243","-1.421","0"
"2021/08/01","00:00","6.834","5.738","4.934","3.228","3.251","1.572","0.499","-0.63","0"
"2021/09/01","00:00","5.994","5.489","4.908","3.159","3.191","1.473","0.509","-0.256","0"
"2021/10/01","00:00","6.148","5.331","4.898","3.11","3.159","1.421","0.377","-0.387","0"
"2021/11/01","00:00","6.549","5.394","4.741","2.91","2.966","1.194","-0.013","-1.296","0"
"2021/12/01","00:00","7.11","5.902","4.974","3.14","3.182","1.391","-0.013","-1.755","0"
"2022/01/01","00:00","7.028","5.784","4.797","2.956","3.004","1.211","-0.236","-1.821","0"
"2022/02/01","00:00","6.736","5.358","4.564","2.785","2.799","1.037","-0.079","-1.614","0"
"2022/03/01","00:00","5.961","5.131","4.557","2.733","2.776","0.994","0.013","-1.214","0"
"2022/04/01","00:00","5.925","4.925","4.396","2.582","2.618","0.837","-0.138","-0.948","0"
"2022/05/01","00:00","6.293","5.154","4.406","2.615","2.68","0.955","-0.328","-1.765","0"
"2022/06/01","00:00","6.814","5.564","4.685","2.897","2.959","1.234","-0.174","-1.811","0"
"2022/07/01","00:00","7.139","5.65","4.738","2.982","3.025","1.309","-0.049","-1.617","0"
"2022/08/01","00:00","6.873","5.62","4.862","3.107","3.133","1.404","0.331","-1.388","0"
"2022/09/01","00:00","6.798","5.633","5.003","3.255","3.284","1.568","0.6","-0.568","0"
"2022/10/01","00:00","6.03","5.436","4.869","3.081","3.145","1.421","0.246","-0.853","0"
