"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2014/02/01","00:00","1.155","0.043","-0.023","-0.302","-0.308","-0.594","-0.669","-1.371","0"
"2014/03/01","00:00","0.889","0.377","0.292","0.039","0.039","-0.213","-0.292","-0.971","0"
"2014/04/01","00:00","1.306","0.689","0.607","0.374","0.372","0.138","0.069","-0.42","0"
"2014/05/01","00:00","1.394","0.886","0.761","0.499","0.497","0.233","0.131","-0.604","0"
"2014/06/01","00:00","1.453","0.915","0.817","0.577","0.574","0.331","0.236","-0.666","0"
"2014/07/01","00:00","2.91","1.417","1.276","1.03","1.019","0.761","0.663","-0.344","0"
"2014/08/01","00:00","2.572","0.984","0.879","0.633","0.602","0.325","0.249","-0.863","0"
"2014/09/01","00:00","3.064","1.178","1.024","0.764","0.75","0.476","0.364","-0.83","0"
"2014/10/01","00:00","2.3","0.436","0.282","-0.007","-0.056","-0.394","-0.495","-3.048","0"
"2014/11/01","00:00","1.473","0.407","0.19","-0.072","-0.176","-0.541","-0.676","-2.858","0"
"2014/12/01","00:00","1.457","0.417","0.259","0","-0.011","-0.282","-0.387","-1.106","0"
"2015/01/01","00:00","1.168","0.371","0.289","0.036","0.038","-0.213","-0.305","-1.27","0"
"2015/02/01","00:00","1.322","0.335","0.223","-0.016","-0.031","-0.285","-0.364","-0.892","0"
"2015/03/01","00:00","1.381","0.499","0.407","0.164","0.164","-0.079","-0.174","-0.807","0"
"2015/04/01","00:00","1.243","0.518","0.41","0.131","0.123","-0.164","-0.246","-1.332","0"
"2015/05/01","00:00","1.188","0.653","0.531","0.262","0.256","-0.02","-0.125","-1.453","0"
"2015/06/01","00:00","1.811","1.165","1.05","0.781","0.779","0.509","0.39","-1.991","0"
"2015/07/01","00:00","1.798","1.066","0.991","0.741","0.75","0.509","0.397","-0.049","0"
"2015/08/01","00:00","2.749","1.381","1.266","0.951","0.994","0.722","0.61","-0.328","0"
"2015/09/01","00:00","2.313","0.978","0.833","0.574","0.563","0.292","0.177","-0.843","0"
"2015/10/01","00:00","2.247","0.928","0.837","0.568","0.579","0.322","0.2","-0.801","0"
"2015/11/01","00:00","1.818","0.965","0.85","0.61","0.605","0.361","0.249","-0.505","0"
"2015/12/01","00:00","1.795","0.81","0.705","0.479","0.476","0.246","0.167","-0.453","0"
"2016/01/01","00:00","2.415","0.958","0.837","0.623","0.587","0.338","0.289","-0.797","0"
"2016/02/01","00:00","1.083","0.302","0.203","-0.046","-0.048","-0.299","-0.397","-0.988","0"
"2016/03/01","00:00","0.453","0.069","-0.007","-0.259","-0.274","-0.541","-0.597","-1.28","0"
"2016/04/01","00:00","0.509","0.039","-0.033","-0.269","-0.266","-0.499","-0.548","-0.853","0"
"2016/05/01","00:00","1.053","0.584","0.495","0.282","0.276","0.056","0","-0.827","0"
"2016/07/01","00:00","3.638","1.791","1.637","1.401","1.339","1.04","1.03","0.003","0"
"2016/08/01","00:00","3.14","1.585","1.48","1.171","1.204","0.928","0.751","-0.584","0"
"2016/09/01","00:00","3.34","2.119","1.985","1.69","1.693","1.401","1.283","-0.049","0"
"2016/10/01","00:00","3.018","1.713","1.575","1.296","1.289","1.004","0.879","-0.138","0"
"2016/11/01","00:00","2.29","1.286","1.155","0.948","0.935","0.715","0.627","-0.154","0"
"2016/12/01","00:00","2.9","1.302","1.175","0.965","0.922","0.669","0.653","-0.118","0"
"2017/01/01","00:00","3.399","1.483","1.296","1.089","0.984","0.673","0.61","-0.509","0"
"2017/02/01","00:00","2.352","1.191","1.089","0.807","0.817","0.545","0.427","-0.531","0"
"2017/03/01","00:00","1.388","0.892","0.781","0.528","0.531","0.282","0.197","-0.518","0"
"2017/04/01","00:00","1.237","0.463","0.367","0.131","0.133","-0.102","-0.171","-0.951","0"
"2017/05/01","00:00","1.575","1.027","0.925","0.689","0.687","0.449","0.39","-0.082","0"
"2017/06/01","00:00","2.329","1.322","1.23","1.001","1.002","0.774","0.699","-0.138","0"
"2017/07/01","00:00","3.156","1.65","1.493","1.273","1.237","0.981","0.863","0.18","0"
"2017/08/01","00:00","2.513","1.45","1.322","1.053","1.03","0.738","0.61","-0.522","0"
"2017/09/01","00:00","3.045","1.214","1.089","0.833","0.819","0.548","0.381","-0.387","0"
"2017/10/01","00:00","2.776","1.309","1.175","0.856","0.896","0.617","0.492","-0.702","0"
"2017/11/01","00:00","2.539","0.997","0.817","0.515","0.523","0.23","0.013","-1.526","0"
"2017/12/01","00:00","1.421","0.394","0.259","0.036","0.034","-0.19","-0.276","-1.342","0"
"2018/01/01","00:00","1.43","0.551","0.427","0.174","0.179","-0.069","-0.174","-1.362","0"
"2018/02/01","00:00","2.477","0.909","0.784","0.545","0.528","0.272","0.187","-1.184","0"
"2018/03/01","00:00","1.155","0.518","0.44","0.18","0.197","-0.046","-0.125","-0.722","0"
"2018/04/01","00:00","1.394","0.479","0.397","0.141","0.138","-0.121","-0.217","-1.713","0"
"2018/05/01","00:00","1.148","0.728","0.614","0.384","0.387","0.161","0.095","-0.476","0"
"2018/06/01","00:00","2.001","1.352","1.266","1.033","1.029","0.791","0.705","0.171","0"
"2018/07/01","00:00","2.726","1.906","1.811","1.575","1.565","1.319","1.217","0.62","0"
"2018/08/01","00:00","3.025","1.634","1.526","1.25","1.255","0.984","0.82","-0.056","0"
"2018/09/01","00:00","3.537","1.401","1.237","0.892","0.943","0.65","0.446","-0.709","0"
